yomi,kigo_yomi
トウフヤノカイダンナツノサンニンクラシ,ナツ
アユハイテアラウフタタビヒノカワヘ,ウカイ
アラタマノナベモチアゲルチカラカナ,シンネン
ミズガイヤモノノフニシテクビホソシ,ミズガイ
ギオンカイノウンキノツジトナリニケリ,ギオンカイ
イチテンノソリイチセンノソリノミチ,ソリ
ハカヤマノツマトヒサシイスユウサクラ,ユウサクラ
ネンブツノサマヨヒオツルユキカイガワ,ユキカイ
イヒギリノミヲヨイノアメウチニケリ,コノミ
ユウヅクガカシワダイキヲメグリケリ,ナツノムシ
フクロウニキケカイラクノコトナラバ,フクロウ
テンヤチヤゼッコウモセズアカトンボ,アカトンボ
マツスグニシオカゼトホルチノワカナ,チノワ
ネハンズヲアフルルツキノヒカリカナ,ネハンエ
ショウガイノイマゴゴナンジイワシグモ,イワシグモ
サメテマダキョウヲオモハズシロショウジ,ショウジ
カンパンニネテギンカンヲムネノウエ,アマノガワ
イマカケシスバコノナカデネムリタシ,スバコ
ナツソラガアキゾラトナルコクニオト,アキノソラ
バンネンヤユメヲテゴメノナシハナイチエダ,ナシノハナ
ワビスケノシロモテフツモテナサン,ツバキ
ケフノモウカエラヌスギナセイヒニケリ,スギナ
ガンジョウニウンデクレタルユズユカナ,ユズユ
ワガハイクアシモテツクルイネフグリ,イヌフグリ
ダイカヤノトリヲイレタルヒガンカナ,ヒガン
アササクラヒケンノアゴニセンサナシ,サクラ
コノドヤサクラサククニワガスムクニ,サクラ
ギンガニモキガカイキョウノアリニケリ,アマノガワ
ボンノアメホトケノチチハハトクラシケリ,ウラボンエ
カナヅカヒトハユレテヰルワレモコウ,ワレモコウ
フユザルルリボンカケレバオクリモノ,フユザレ
ダイアゲハカイニワキタルツシマカナ,ナツノチョウ
カズカズノモノニハナレテガクノハナ,ガクノハナ
ミズオトトムシノオトトワガシンオント,ムシ
メノマエノサジコソダイジニッショウクサ,マツバボタン
ロウバイトイクドモコタエヘサビシキヒ,ロウバイ
ナツヤスミシンセキノコトアソビケリ,ナツヤスミ
ロウジントロウジンノヰルサムサカナ,サムシ
ユメジュウヤコトゴトクハナフブキセリ,ラッカ
ミズガミズオシテシマントガワノナツ,ナツノカワ
ダイハナビナントイツテモコノヨヨシ,ハナビ
タツトキヲスコシヨロケテヒガンバナ,ヒガンバナ
ワガマチヤスズメカクレニスズメイテ,スズメカクレ
ゼンマイノツキノナカマデノビアガル,ゼンマイ
ネハンズニナキシネズミトノジニカイフ,ネハンエ
ハナビノヨルヤムルホドアイスマジ,ハナビ
シシャトマダワカレテヲラズシラキレン,モクレン
ツキヘユクフネクミタテルオボロカナ,オボロ
コイサイテトリダストオイアカネクモ,ユウショウ
ダイコウカイジダイオワリシクジラカナ,クジラ
ラクヨウマツバヤシヒグラシノマタハジメカラ,ヒグラシ
アメノサラウアトノサラウスツキヨ,サラノハナ
イエイニハイエイノツキヒキンギョダマ,キンギョダマ
ハナカラユキヘキヌタウチアウサカイナシ,キヌタ
カビノショノメモニチチジノコウシノカタリ,カビ
ツユフケシセイザギッシリシスベカラズ,ロ
ボウタンノヒトツノハナヲミツクサズ,ボタン
モミノキハイチホンガヨシユキガフル,ユキ
セツゲンヤグントリカゲヲスベラスル,ユキ
ミユキミチキシカタユクエソウジタリ,ユキ
ザラガミノショウワノセンシカビニオイフ,カビ
ヒョウスズシカタガアユメバセガツヅキ,スズシ
オンガクニナミダワキタリトシオシム,トシオシム
タケノコノドチュウニシズミユクヨウ,タケノコ
カタシロニイキハイテヤマクモリケリ,ナゴシノ祓
ハクレンノイノリノテンニトドキケリ,モクレン
ウミヨリモノヤマニオリテコソミドリウ,ミドリウ
ヤマハサンカイハウミナリヒサジョノイミ,ヒサジョキ
チョウジョウノキレハシヲメニアキタガヤス,アキコウ
トリクロキコトモフユカナオオゾラハ,フユ
ヒトユレニショウユルショクトモフユザクラ,フユサクラ
ヤキタテノパンノヒャクタイシグレケリ,シグレ
イチジクヲタベテシバラクケブルナリ,イチジク
イロオシミツツヨアケツツクロブドウ,ブドウ
サエズリヤモウコヱノナキガオノウエ,サエズ
ユルムコトナキアキバレノイチニチカナ,アキバレ
タウエキニユタカニノリテナモナケレ,タウエ
オボロヅキカセイノモノヲチニオロス,オボロヅキ
ガッコウノサクライチバンミゴトナリ,サクラ
サキミチテナホサクサクラオシゴウヘル,サクラ
フトバシヤヒゴロノヤマニセイザシテ,フトバシ
シツケイトヒクヤハルギノチョウチヂム,ハルギ
カゲロウヲトヘルタメニアルキダス,カゲロウ
アラタマノカゼヤキノネヲイダクキノネ,シンネン
シュンカンヤトキニカセトモナルキズナ,シュンカン
クモヨンデユキトスジョウノオニガワラ,ユキ
アカツキノクモワレルコエヤハクチョウライ,シラトリ
タカンナノヒカリテタケトナリニケリ,タケノコ
アキウララノヒツギニモタレネムリケリ,アキウララ
カオアライフセンリョウノアルミッカビ,サンガニチ
ハルノユキオオキクムネニコハレケリ,ハルノユキ
コノヨヨリオモシロキカナバコメガネ,ハコメガネ
ヤマザクラモミヂノトキモイチジュニテ,コウヨウ
トホクヨリミニキシトイフアキノカワ,アキノカワ
ショウガツノジベタヲシフアソビカナ,ショウガツ
シフヒトアルイズミノアタリノウツクシキ,イズミ
モノオトハイチコニヒトツアキハジメ,ショシュウ
カンセンニイチシャクヲオキイチコアリ,カンノミズ
チニヒククシアワセアリトフクジュソウ,フクジュソウ
コレヲミニキタシゾセツレイオオイナル,フユノヤマ
ハルウレヒコツノフレアフブトウカナ,シュンシュウ
アカトンボユウグレハマダサキノコト,アカトンボ
トキモノヲカイケツスルヤハルヲマツ,ハルマツ
コウバイニカンシャクダマノツボミカナ,コウバイ
ロウジンノフユキトイフハカシノコト,フユキ
タコショクツテロドオリハソノイミシレズナリ,タコ
オガクズニウメラレシエビスコシウゴク,イセエビ
モジリアニカラハナカゼヲウツサレル,カゼ
ノヲユケドノニシタシマズフユノカワ,フユノカワ
ハツセミヤケフヨリクモモジュンパクキ,セミ
イキテイルカギリクソジイハエセイマル,ハエナル
シモウサモヒタチニチカキウメムシロ,ウメボシ
ナツハテノトウゴクバフンナツカシヤ,ナツオワル
セミアナヲカラスノツギニノゾキケリ,セミ
ミズノチキュウスコシハナレテハルノツキ,ハルノツキ
シニモセズヒトガヘリユクキリノムラ,キリ
イワシグモベッドガフジョウシテヤマヌ,イワシグモ
コボレハギツブヤキハミナフウノナカ,ハギ
モンシロノナツチョウワレヲセンドウス,チョウ
オノレガオヲカムウロジカンノヘビウチュウ,ヘビ
オニヲコゼテットウテツビオニヲコゼ,オコゼ
シロミカドジョウサイウンノゴトキリノハナ,キリノハナ
イノチアリテタツチョウジョウノクンプウニ,クンプウ
ソメヰヨシノノクルメキニヒトトイハズ,サクラ
ジョヒナヰテオトコヒナヲナカスクラノナカ,ヒナマツリ
ハルバルトハクチョウシロヲタモチキタシ,シラトリ
カゼビュウトヘビハオノレノアオニクム,ヘビ
コイスズメネギゴトツマルフウカボトケ,トリ交ル
センニシナズヤマイニシナズハダカカナ,ハダカ
キュウリュウノハジキダシタルベニツバキ,ツバキ
ミニカエルイタミヨカワクモズノニエ,モズ
シジミジルワガショウガイノタテバヤシ,シジミジル
ヤヤアリテナガレハジメシヒナカナ,ヒナ
ヒトクチヲノコスオカハリハルトナリ,ハルトナリ
アイサレルコトノミオボエウスコウヨウ,ウスコウヨウ
ショウガイヲヘビシャクニトスマツノハナ,マツノハナ
ハチノスニヨキオトタテテテヲアライフ,ハチ
コウスコシフコウヲスコシソウマトウ,ソウマトウ
バンリョクヤシハモロモロノカントレテ,バンリョク
オキニヒノトウレルナミノウキネトリ,ウキネトリ
ハナヒヤワレニゾウゲノチョウシンキ,ハナビエ
スミテナホスイノシュンジュンアリニケリ,ミズスム
ハロカナルモノニキノウトキリノハナ,キリノハナ
ウシナイシカタアシヒロウハルノウミ,ハルノウミ
ガッサンニソクリョクノアルクモノミネ,クモノミネ
カマクラノハレツヅキケリナナゴサン,シチゴサン
アサガスミチカヨリガタキウサギノメ,カスミ
コブシチルカゲトイフモノソラニオキ,コブシ
トリカエルワタリダイクノワガウエヲ,トリカエル
ショウシュンジツヤリンカノイヌノナハピカソ,ショウシュンジツ
ミワヤマノニシニヒノアルフユキカナ,フユキ
アキバレガカガミノナカニシカミエヌ,アキバレ
オオカミハホロビコダマハザイフル,オオカミ
ムネトイフジニゲッコウノヒソミケリ,ツキ
ヒトトセニヒトツノハルヤギゲイテン,ハル
エンテンノチョウヲハナレテチョウノカゲ,チョウ
ケイトウノカゲチニタオレカベニタツ,ケイトウ
ヤマノコトカノコトキクナツロカナ,ナツロ
ユキノヒノユキノイチカイトナリシカナ,ユキ
ハコブネニアルカノメザメユキフレリ,ユキ
シュンセツサンニチマツリノゴトクスギニケリ,ハルノユキ
ゲンバクキフタツスギタルカワノテリ,ゲンバクキ
スミヨシノマツノシタコソスズシケリ,スズシ
ラクダマタタカズマブタノハエニサヘ,ハエ
サスラヘバクマノユウキリサビシクテ,キリ
コトシコノサクラトエンムスビケリ,サクラ
ナマヒタチハダレモスコヤカリュウノタマ,リュウノタマ
ニチレンセイジンホウナンキネンサビテナツ,ナツ
クスリカリノウフサゲキシダイヤカン,クスリホル
ナツサカンミクロネシアノツキコイシ,セイカ
カミヤマノハヤマニスミテホシヅキヨ,ホシヅキヨ
タコオチテタコノハイタルゴトクイト,タコ
ハナビエノタヨリヌキタルアシニホン,ハナビエ
ウツセミヲハナレシコエノキリジメリ,キリ
ハツナギノセツツサキトナリシュッコウス,ハツナギ
アイナキヒヒライシンミテカエリケリ,カミナリ
ヤマホウシヒトツノアサニヨルノコヌ,ヤマホウシノハナ
コトゴトクゼンシュウニアリコロモヒ,コロモヒ
ハナビラガホドノシタモツコネコカナ,コネコ
オトコニハセップクガアリテッセンハナ,テッセンハナ
ウミヲミルツマトフユビヲワカチゴウヒ,フユノヒ
テングサメアガリダイオウザキハハル,ハル
カタチナキモノヲミツムルシュウソンキ,シュウソンキ
スグカワクマンハッタンノユウダチカナ,ユウダチ
ハチガツノウラムイテイルオロシガネ,ハチガツ
カサイチホンオモニノヨセイツユニハイル,ツユ
ネコツネニネコトカギラズイナビカリ,イナヅマ
ヒマツリノイチヤノタメノキヌノオビ,アンバノヒマツリ
ユウナミノサネサシサガミハツツバメ,ツバメ
ツキノヨワイネコノヨワイトゴンタザカ,ツキ
ジョヤノカネテンカラアラナワイチホン,ジョヤノカネ
レグホンセンノキョウドウフアンフユノクモ,フユノクモ
シラカベニガガトウゼンノヤウニヰル,ナツノムシ
ウグイスニクラヲツメタクシテオカム,ウグイス
ワラベノカミノゴトクタバネアマリナエ,捨苗
イエイエニヨキトシヨリヤウリノハナ,ウリノハナ
シンリョウヤモノカイカゲヲフヒテタツ,シンリョウ
カゲロウヲヨクカンデイルヒツジカナ,カゲロウ
ナガレボシミテヨリイソギアシトナル,リュウセイ
アメホシキクニニヒハハイリカショクトリ,コウモリ
タキノオモテハヨロコビノミズシブキ,タキ
ウメニクムウタハグンカヤニドワラベ,ウメ
サクラタイユビワヲヌイテリョウリケリ,サクラタイ
マムシクサウシロスガタヲノバシケリ,マムシヘビクサ
ヤマゴエハフルキイセミチフジノハナ,フジノハナ
アマノウミカガヤキワタルゴガツカナ,ゴガツ
ハナサンショウオキテノゴトクワカレタル,サンショウノハナ
モウダレモイナイチキュウニモチノツキ,メイゲツ
ヨクネムルハハヤホウタルトンデコイ,ホタル
ハハオイテウスバカゲロフサエコワル,ウス翅カゲロウ
トイキミナメンチュウトナルヒグレドキ,メンチュウ
クタラカンノンウラヤミアオグキブクレテ,キブクレ
ヤネノユキズリテアツサヲミセテヰル,ユキ
ツバメクルテンハシガラミナキタイガ,ツバメ
ゲンカンニオオキナカガミシツノハナ,シツノハナ
テヲハクッテコイヲハゲマスジュウサンヤ,ジュウサンヤ
ミナキョシノフトコロニアリハナノクモ,ハナ
ユウクモノフチノキンイロヒナオサメ,ヒナオサメ
ヒャクネンハドウワノスンジコノミフル,コノミフル
シニギワノアゴヌクトシヤオガンジツ,ガンジツ
テンニオリオンチニワガトウノクツオトノミ,フユノホシ
ハルカナルオキヨリカゼノヒカリクル,カゼヒカル
コトツマミニユクギンノヨモギカナ,ヨモギ
ワガオモフハジマリイツモハトクルヨ,ハツハト
ショウネンノジカンノアマルヨミセカナ,ヨミセ
ミミフタツアレバフタツノサムサカナ,サムシ
ジテンシャノヒャクタイトスカンポノヒャクタイヲアイス,スイバ
コウバイヤユツクリトモノイフハヨキ,コウバイ
グホウノヒッセイニハルタケニケリ,ハルフカシ
キョシノイミノフエカタノトビタカクアリ,キョシキ
ウマレタテノウシノイキヅクカグラヤド,カグラ
ハクチュウノフリムキザマニケイトウハナ,ケイトウハナ
ジョウギアテヒクチョクセンノスズシサヨ,スズシ
チョクリツノタキリンリツノスギノオク,タキ
アキヘンロイオウトウカラキタトゲンフ,アキヘンロ
ミズノオトシテミズミセズナツザシキ,ナツザシキ
コクサヘフミダスカバノシズクカナ,コクサ
ツキノマワリシンクウニシテツキミソウ,ツキミソウ
カラスミスネントツテカラナガイキス,カラスミ
フネトナルハズノキガナツコヤトナル,ナツ
ナンジトワガバンブツイテテウスクレナヰ,コオル
ハルノヒルウマハポプラノカゲヲクウ,ハルヒル
リットウヲサツトアメフルヨツツジカナ,リットウ
シオンユラスカゼアオゾラニナカリケリ,シオン
ウタレントイチトウノシカスミキリヌ,シカ
エドガワヤキンギョモカカルシカケモウ,キンギョ
アゼヌルヤチチハハノカオウツルマデ,アゼヌリ
ヤマガヤマオシテヨルノクルトシノクレ,トシノクレ
ニンゲンデアルコトヒサシツキミソウ,ツキミソウ
ヒノシズムマデイチホンノフユキナリ,フユキ
ヒトイノルカタチイロイロリョウアラタ,シンリョウ
ニジノハシコノヨノイヅコニモフレズ,ニジ
チクリンニホタルノセイザクマレケリ,ホタル
ナキヒトハウミアユミコヨサクラドキ,サクラ
イキノビムヒナノシモベトナルタメニ,ヒナ
アマノガワチイサクアレドココロザシ,アマノガワ
ヨルノモクバイテテネムレヌガラスノメ,トウド
ヒルガオヤエンキリネガフオンナノエマ,ヒルガオ
ウミノソコクラシクラシトアオバミミズク,アオバミミズク
ツキコウコウトシテデスマスクヘキシ,ツキ
ツキノハニフレシイチハイユウノシヨ,ツキ
ハルサムクキリストノメトナリニケリ,シュンカン
ツキノモノカワルガワルニツユカゾク,ツユ
ネガティブナロククカイワイトコロテン,トコロテン
オトコキテタツハチガツノシャシンテン,ハチガツ
アキノハシワタリイチバンレッシャマツ,アキ
モライヒユノクラガリトオキハイセンキ,シュウセンキネンビ
サムスバルムネニヒメタルココロザシ,フユノホシ
ヒラヒラトヨルハシンシントムッツノハナ,ユキ
アカキツキキイサゴノヤミヤソシュウノヨル,コウサ
アオキフムフトナツカシキロジンノゾウ,踏青
コトミドリレイロウノエンマブシケレ,シンリョク
クツヒモノトケタシノカゲキクツボム,キク
アキカゼニフトヨロメキシヒザワラウ,アキカゼ
ニヲトケバヒダノクルミヤカキコロゲ,カキ
ヤムハハノテノヒラニノセタルフキノトウ,フキノトウ
ソコダケニヒグレキテヲリナマコオケ,ナマコ
オネコエノシンガリアオルハルキタカゼ,ハルキタカゼ
ツムリテバラセンホンノコウノジュバク,バラ
コノケッコンチチハハニコウゲノハルノオカ,ハル
ゴケンニモイカズカゼノムコイノボリ,コイノボリ
コノハオツシメイオワリヘタルアンドショク,コノハ
イキヅキヲヒスイッコウシボシスズシ,ナツノホシ
ジュウニガツイチニチノカオカイツブリ,ジュウニガツ
センゼンノタコニナニカラハナサウカ,タコ
シンデカラモノハイフマジハツツバメ,ツバメ
タイヨウヤサクラサクラトヒヲカサネ,サクラ
ジンマシンミミマデセンキョシテシワス,シワス
タイナイノタメイキヌイテオニヤライ,オニヤライ
セミヨセミシッテカココハバクシンチ,セミ
イキザマニノリシロソエテキクナマス,キクナマス
サザンカニヨレバワタシハフツカヨイ,サザンカ
カンイヤッコクニツバメトスレチガフ,ツバメ
ブラブラヤマヒシヤウジノチャリツチュウ,チャリツチュウ
フロシキヲヒロゲコガラシトリダセリ,コガラシ
アサクサカリヨコイチレツハハンセンハ,クサカリ
キリギシヤアサギリハヤマトコトバメキ,キリ
カゼノコノスワンノムレヲヒトリジメ,カゼ
ウキナガシアオコロモカケオクブドウノキ,ブドウ
ハチノスニウスヒサスヨウハハサメル,ハチ
カドビタクテアシヤセタルワカモノト,カドビ
ヤブテマリヤマノドコカニヒノニオイ,繍毬ハナ
キツネワナフトカンジョウヲモテアマス,キツネワナ
ゴクゲツノノモリノヨウニハニワタチ,シワス
コウチャノハポットニオドルハナノヒル,ハナ
チグハグナモノヲフヤシテコウイ,コウイ
エノコロヤマツワルイヌハモウイナイ,エノコログサ
コスモスノカゼニヒキトメラレテオリ,コスモス
ヨウジンニヨウジンノハエフユニハイル,リットウ
ムスビメノスンナリトケシハナサイフウ,ナノハナ
キオクレノイロマトイタリニチカミナリ,カミナリ
ムクロジヤハハトアソビシテノシメリ,ムクロジ
カゼニシンアリフックラトカンタマゴ,カンタマゴ
クリゴトハココロノアソビケイトアム,ケイトアム
サクラマンカイモエナイモノトモエルモノ,サクラ
ジョウヒンナリキンギョバチカラゴシュッキン,キンギョ
ゴキブリガエンセイジサツシテオリヌ,ゴキブリ
ノタウッテタコハチコクノジョウシュウハン,タコ
ハルアサシイシノウラガワイキテヰル,ハルアサシ
ランチマツレツニオオキナセンプウキ,センプウキ
ショトウノヒザシニヒラクチュウヤノシ,ショトウ
オボロヨノシナバヒトノワミエテクル,オボロヅキ
サンカンシオンヨルハナオサラヨゴイシヲオク,サンカンシオン
オタマジャクシニテガハエイノチウラレオリ,蝌蚪
サツキカナシノギヲシイルイゴテアイ,サツキ
ジツウメオツタクチキリウリシテキュウカ,オウメ
シュクギゴトトソウノカサンヤマンジュシャゲ,マンジュシャゲ
アラウミノオキニニチヤサスタキジノイミ,タキジキ
ガッペイノサンピリョウロンザンエミフ,ヤマエミフ
シガツバカデンゴンバンノゴジナオス,シガツバカ
イリグチハスナワチイデグチエキハクショ,ハクショ
シュウセンキカミカゼフクトダレガゲンヒシ,シュウセンキネンビ
イチホノオキヘココロヤキリノハナ,キリノハナ
ナホザリニアメフルサラノカズイカナ,サラノハナ
ボケノミノルヲヒトツタナゾコトボケマイゾ,ボケノミ
アライヒタルカブラマシロシヨキヨナレ,カブラ
アオムギニカゼノユクヘノミユルカナ,アオムギ
イシウスノイマハフミイシショショノカゼ,ショショ
カツゲキノカンバンガイニツバメクル,ツバメ
モウドウケンモツトモシズカニクレノマチ,トシノクレ
フレアイノフカマリユクヤハナノヤマ,ハナ
マチバリノタマノナナイロイチヨウキ,イチヨウキ
チョウジンノカゲケサレユクトウジカナ,トウジ
ダンランノカゲウゴキオリジュウニガツ,ジュウニガツ
センゼンモセンゴモイキシユキノフジ,ユキ
カスミメノマドニトラエシハルノクモ,ハルノクモ
フジダナノカゼムラサキニコミアエル,フジ
ムネノキズマイチモンジニハナノヒエ,ハナビエ
ムネノキズウズケバツバメヒククトブ,ツバメ
ヤクソクヲアシタニアズケハルニヤム,ハル
ハルノカミナリオットトノオウセニワリコマレ,シュンライ
ウバグルマコハルノナカノフカネムリ,コハル
セミシグレセオトヲハヤムキガノサト,セミ
イリヒマケヒゲンヤノウマノスズシキメ,スズシ
カレスミテトリハユウヒノナカニアリ,フユ枯
ユックリトイキスイハジムヒナノメ,ヒナマツリ
ハルノヨルノダイコクバシラゴエモラス,ハルノヨル
オニヤンマブツカッテユクヒカリドウ,トンボ
アシオトノオクレテヒトツハイセンキ,シュウセンキネンビ
アキノゾウナカハラチュウヤヨリサビシ,アキ
ソウレツニハナガラノカサハシリツユ,ツユ
イケドムジンイケドムオンノムギノアキ,ムギノアキ
ワビジョウヲカキワスレヲリシュウセンビ,シュウセンキネンビ
ナマコツクイザナギイザナミスメラギケイロン,ナマコ
ケイロウビケショウクズレヲワスレオリ,ケイロウノヒ
オヤヲマツメセンタシカナツバメノコ,ツバメノコ
シンヤクヲコトワリキオモアキクレルル,クレノアキ
シニセマタキエルマチカドソゾロサム,ソゾロサム
ハルカゲノミズノオモタキコイノクチ,ハルカゲ
キンギョクニクサリサビユクハナダイコン,ハナダイコン
ハルサメヲキクマナザシノカンゼオン,ハルサメ
ネムルトキマブタフクラムハルノヤミ,ハルノヤミ
コンジョウノカゼノツバキヤソクミボトケ,ツバキ
ダイダンソラノマホラニコウノトリ,ガンチョウ
イチョウハノオウゴンニオボレテミヲジツフ,イチョウ
ダイヤモンドダストマイコトブキノイノチカガヤカス,ダイヤモンドダスト
シュウギョウシキリョウヘコウチョウモダイコンホス,ダイコンホス
オソマツナヒゲソルカゼノベイコトブキカナ,カゼ
ショウゴクハトモニエチゴヤウメミチャヤ,ウメミ
ケンポウヲセリフノヤウニハナニオイフ,ハナ
ナツボシヤグンタイテチョウノミノコル,ナツノホシ
ヌナハトルミズノトウメイタグリツツ,蓴生フ
トコロテンアシアソバセテタベテヲリ,トコロテン
カラスウリノハナカクレナリハハノマド,カラスウリ
アオキタカゼヤカワノハリリトカイサイチュウ,カリワタシ
ハカイシニモカガヤクジカンフユノアブ,フユ
リニマケテショウネンナケリホタルカゴ,ホタルカゴ
ハダカキニボクノドクリツコクガアル,カレキ
フユトナリヨセイヲホゾデカンガヘル,フユチカシ
ユキダルマハジメハチイサキタマニシテ,ユキダルマ
タイフウニヰテトウキョウニデグチナシ,タイフウ
イモウトノオトココトバヤラムネダマ,ラムネ
ハトスズメワレモフユビノアシニホン,フユノヒ
ウミミユルカタニヒトゴエツキミソウ,ツキミソウ
アカイハシワタリナツヤセセオモイオリ,ナツヤセ
マンジュシャゲタオルヲフットツミトシテ,マンジュシャゲ
ヒグラシニネンコウジョレツアルラシキ,ヒグラシ
ニゲミズヤハナシガヒトリアルキスル,ニゲミズ
ソノナミダホンモノデスカカメガナク,カメナク
フタゴコロアルカノヨウニツバキオツ,ツバキ
タメライキズホドノイタミヤナツノツキ,ナツノツキ
カクシツノフカマルユキノダイヒサシ,ユキ
モノノメヤスデニゴサンノハジマレリ,モノノメ
カコチョウノナカノウグイスヒヨリカナ,ウグイス
モドレヌカモシレヌハシアリカズラツキヨ,カズラ
アキノミウラウミノイロヨリソラノアオ,アキ
アキサムシタイショウマッシスグヨワネ,ヤヤサム
フユザレテスズメノコエモシマリギミ,フユザレ
セキイクツヨウジイソギテマチヲセニ,セキ
ハツムカシクノタビスデニハジマリヌ,キョネン
ワカバフウグソクナラベシオクザシキ,ワカバ
ビロウドノシュノケイトウニソソグアメ,ケイトウ
オトノナキオトニザシヲリユキクルカ,ユキ
ハナマイヒヌゴッホノオイランスマシガオ,ハナ
ニワスミノコロガルフウセンネムタガリ,フウセン
バラカヲルチョンマゲアルキシカイコウチ,バラ
ロクジュウカイノソラアオギミルハイセンビ,シュウセンキネンビ
ビジュツカンガイモラクヨウノテンビョウガ,ラクヨウ
ミオボエノカラスオオゴエハナノヒル,ハナ
アオアラシオットノコゴトキキナガス,アオアラシ
トシヨウイヒゲノカンノカッポウギ,トシヨウイ
ハルノカゼヒャクホンノキギシズカナリ,ハルノカゼ
ナナイロノヤミヲフミタルスアシコソ,ハダシアシ
ゲンカンニカサアツマッテカミナヅキ,カミナヅキ
エンピツノマッカナコドククレノアキ,クレノアキ
ホホエムヤカガミトミズノツメタサニ,ヒヤヤカ
ハレヤカナハルガサッソウウデマクリ,ハル
オオブロシキオトウトノサエズリトキクヨ,サエズ
カイロウニハナカゲユレテアニハタツ,ハナ
キクノカオニナリキルアネガソコニイル,キク
ツユバレノカイジョウフンエントウウマレヨ,ツユバレ
クダケタルチュウジョウセツリラクヨウドウ,ラクヨウ
カラスナクジョウシノアキノランニ,アキ
ビルカセシミタシコクマチアキサビシ,アキ
シンタイヨムデンノウノヨヤヒヤマジキ,ヒヤヤカ
ジムシデヅアマダレアトノテントセン,ジムシアナヲデヅ
カンランシャハイツモスイヘイフウカオル,カゼカオル
コウコウセイノユルイネクタイトオシカモ,トオシカモ
アワリツクサグラビアノラフフカレオリ,セダカアワリツクサ
ササゴナクマヒルピエロノツナワタリ,ササナ
ミソマメノヨクニエジョヒダリキキ,ダイズ
リリアンノアカイトカラムシンキロウ,シンキロウ
アサガオノツルノノビリツゴサニミリ,アサガオ
アカキイトシュアヤツリカンパイカンボタン,カンボタン
ミズウッテスエヒロガリニヨヲイキル,ウチミズ
ユウショウノナミウチギワヲカタグルマ,ユウショウ
ハイコウヘミズノミニヨルアカトンボ,アカトンボ
サイバンヤカクンノヒダネマモリヌク,トシノクレ
ハルヨコヨオリヅルユラリヤマイオットノアタリ,ハル
ナノハナワヘアワノナミオンミヂカナル,ナノハナ
ハラソコヘシュッコウキテキツユボウボウ,ツユ
セミシグレカイヨリニチヨウダイクノオト,セミ
コエコモゴモトグチヨリアフロジコハル,コハル
ケイチツヤドニイノチノヨミガエル,ケイチツ
ハルガスミチキュウノジクガミツカラズ,カスミ
スイレンノミツダンハジマルイケノソコ,スイレン
アケヤサシウノウサノウノサメキレズ,タンヤ
ソウコウノヒモヨチンジュノアオアラシ,アオアラシ
フユノホシムスンデヒライテコンペイトウ,フユノホシ
ハキオシムラクヨウノイロニヤマノテラ,ラクヨウ
サエズリヤケイタイデンワジュウデンチュウ,サエズ
カラッポノトロバコツマレハルノヒル,ハルヒル
ホウキメニウメノジツヒトツオチニケリ,オウメ
インリョクガウメノミオトスヒルサガリ,オウメ
ココマデトカカトカエセリダイハナノ,ハナノ
カンサイキノトオリミチナリタコノソラ,タコ
コルセットハワレノコウラヤツユノアキラ,ツユアキラ
ボウダイノジョシノセイボウコブシソル,コブシ
ダレレニトモナキドングリヲジツヒケリ,ドングリ
カントウヲヒトツケスタダソレダケノコト,フユノ燈
ミキクレテジュバクフタタビサクラノキ,サクラ
ショウワナオヒキズルボタンザクラカナ,サクラ
カンノアメモクギョノオトノチヲウテリ,フユノアメ
ゴクラクヘユキソコネタリカンアケル,サムアキラ
ママナラヌサンカンシオンノヨセイカナ,サンカンシオン
ムスビメニハハノコエアリハナイ,ハナイ
ブリキノセンシャカイキョウニステルアキヨ,アキ
ニヒャクニジュウニチニツキタルニジュウサイノジュウナナヤ,ニヒャクジュウニチ
タコタグルカミノチコツニフレルベク,タコ
スイヘイニカミオチテユクジュナンブシ,ジュナンブシ
アサリョウヤボダイジュノミキゴツゴツト,スズシ
ショウガイノコンリョウシカリプラタナス,スズシ
チョウナンノハクハツホツホツマツリフエ,マツリ
ハナゴザヤカミヲユタカニオイタルヨ,ハナゴザ
フジミルハワガカテナリキカエリハナ,カエリハナ
フジサンニユウヒテカテカアキナギサ,アキ
バンセツヲエミフガシククラゲウク,クラゲ
トビヒノノオイタルシカノアエカナリ,シカ
イカルノコンコスモスノカレテヲリ,コスモス
ジンセイニウヨキョクセツノアリイチチャノイミ,イッサキ
カタカゴヲタビノチョウビノカタミトス,カタクリノハナ
モノグサノクサクウノハナクサシカナ,ウノハナクサシ
カタマリテユラユラトクルヒガンババ,ヒガン
ニゴリヨノユフベニウスキニジカカル,ニジ
キュウドウヤジベタニフレテフトルナスビ,ナスビ
セオヨギデナツトワカレテキタリケリ,ナツ
トウライノメロントリダスハゼルナヨ,メロン
オリヅルノマンワハトベズゲンバクキ,ゲンバクキ
ムネヌチニスムヒトノアリトオハナビ,ハナビ
ヒグラシヤタイムカプセルウメタバショ,ヒグラシ
クサキゾメコウボウホチュウアミダテニケリ,コンチュウサイシュウ
シュンゲツヤドイツモコイツモウスラバカ,ハルノツキ
キンニクツウノテジナシハルクレニケリ,クレノハル
コジンジョウホウホゴホウナツマケニケリ,ナツヤセ
リッシュンダイキチタトヘバアツショウタマゴカナ,リッシュン
ハルトナリサイノセナカガヌレテヰル,ハルチカシ
