parsed_kigo,parsed_haiku
露,白露 の 日 葦 ことごとく 風 に 伏し
燈篭 流し,流 燈 や 死線 を ともに せ し こと も
冬瓜,冬瓜 の 金輪際 の 坐り か な
颱風,台風 一過 あす から は ダイエット
雪女郎,切り 絵 から いま 抜け て 来し 雪女
桜桃 忌,桜桃 忌 せめて 色付き シャツ を 着 て
椿,署名 捺印 次 の ページ へ 落つ ば き
冬 田,パソコン を 抱 へ 冬 田 の 中 に ゐ し
冬 紅葉,冬 紅葉 総理 やさしく なり に けり
帰り 花,返り 花 蘇我馬子 が 剣 を 拔 く
凍る,凍る 街 鼻 へ 拔 け たる フランス語
狐火,狐火 や 亡き 子 の 臍の緒 どうし よ か
菜種梅雨,單線 の 片側 暖色 菜種梅雨
夏 の 潮,海士 より 海女 逞 まし き 青葉 汐
春,猛 春 や 素読 の 一 と 日 と なり に けり
木 流し,修羅 落し 夜 は 篠笛 に 人 醉 は せ
鳥 雲 に 入る,稜線 も 雲路 も 模糊 と 鳥 雲 に
狐火,はらわ た に 修司 棲み つく 鬼火 の 夜
桜桃 忌,奥 そこ に 青い 灯 ゆれる 桜桃 忌
久女 忌,実 ざくろ の 裂け て 現 はる 久女 の 忌
春 の 海,春 の 海 億 光年 の いのち 満つ
菜の花,菜の花 の 枕 に 沈む 寝 釈迦 か な
燕,田 も 畑 も 捨て られ 空 の 初 燕
熊谷 草,熊谷 草 林 の 中 の 鬨の声
七夕,色色 に 異国 文字 ある 星祭
火取虫,見送れる テール ランプ に 火取虫
落葉,カレー が 上 か ライス が 上 か 落葉 焚
下 萌,畦 青む ア 行 は みんな 優しい 字
蝶,白 蝶々 一言 なら ば 届ける と
椿,落椿 正座 の まま が 痛ましい
木蓮,哲学 の 奥義 究める 紫 木蓮
葱坊主,葱 の 花 見学 料 を 差し上げる
桜,さくら さくら 有頂天 という 死角
向日葵,ひまわり の 迷路 で 二 人 きり に なる
蟬,みん み ん の 蔵 から 昭和 つかみ 出す
小春,鳥 たち が 唄う 小春 の 仮住まい
年 の 暮,年の瀬 や 叱ら れ て いる 玩具 箱
山桜 桃 の 実,迀闊 に も 死ぬ まで 長女 ゆ すら うめ
氷水,一 帆 の 展 く 沖 あり かき氷
蟬,鉢巻 を とる や 忽ち 蟬 しぐれ
鉄線 花,言 ひ 訳 は し ない と 決め し 鉄線 花
枯芝,枯芝 を 転 つて ゆく ビスケット
啓蟄,啓蟄 や 五体 素直 な 骨 の 音
茅の輪,胎 の 子 に 手 を 添え 茅の輪 潜り けり
日向ぼこ,どの 顔 も 一切 空 の 日向ぼこ
冬ざれ,冬ざれ や 飼い葉 桶 ある 軍馬 の 碑
涼し,存 ら えて 傘寿 この 身 の 影 涼し
桜,さくら から 離れ て さくら おもい けり
終戦 記念 日,二 杯 目 の 珈琲 を 濃く 終戦 日
侘助,母 の きもの で 佗助 の 仄 明り
ポインセチア,忙しく 人 来 て 帰る ポインセチア
八 手 の 花,花 八 手 ちか ら を ぬく は どの くらい
綿 虫,逢 ひ に 来し いも う と なる か 雪 ぼ たる
綿 虫,綿 虫 や 水子 地蔵 の 肩 に 来 て
綿 虫,地獄 絵 の 何故か 明るき 雪 螢
落葉,振袖 を 照らす 神 燈 落葉 道
落葉,側室 の 部屋 は 離れ に 夕 落葉
寒波,月 煌々 寒波 の 都会 砂漠 めく
冬 の 月,嬰 を 抱く や 暖かく なる 冬 の 月
虹,夕 虹 が 濃く て さよなら 言え なく なる
コスモス,風 の コスモス どこ を 突っつい て も 笑う
成人 の 日,遠 富士 や 成人の日 の 観覧 車
冴 返る,頭上 注意 足元 注意 冴 返る
余 花,締切り に 追 は るる 投句 余 花 の 雨
夏,さあ 夏 だ 勝負 どころ の 中 七 だ
柿,一木 に 千 の 夕日 や 柿 の 秋
燕,燕 地 に ブル デル の ヘラクレス
短夜,明け 易し 原油 六 十 ドル に 乘 せ
虫 簸る,虫 簸 り 一番 星 を 光ら しむ
クリスマス,クリスマス 地雷 一 億 地 に 殘 し
寒 の 水,豆腐 手 に 泳がせ て 売る 寒 の 水
甘茶,手の甲 の 古き 傷跡 甘茶 杓
夏 の 海,夏 の 浜 わが身 さらさら 砂 と なり
秋,九十九里 の 御 練り 蹴 散らす 秋 の 砂
冬 桜,箸 ひそ と 運ぶ 二 人 の 冬 桜
初 鏡,婚 の 荷 の 鏡台 古 ぶ 初 化粧
寒 明,街道 に フランス 国旗 寒 の 明け
厳寒,酷寒 の ニコライ 堂 の イコン か な
春 深し,はんなり と 稽古 の 袴 春 深し
春 寒し,春寒 し 階段 下 の 喫茶店
五月,縄文 の 大 鍋 展示 五月 来る
年 の 暮,山 動く ほど の 地震 あり 年 詰る
凍 滝,一切 の 色 拒み たり 冬 の 滝
青葉,青葉 騒行 つて 來 ます と 言 つ た きり
薔薇,青 薔薇 もてはやさ れ て より 狂 ふ
ソーダ 水,水平 線 溢れ ぬ 不思議 ソーダ 水
亀 鳴く,人形 町 亀 の 鳴く 日 の あり に けり
噴水,噴水 は 夏目 雅子 の よう で あり
八月,八月 の 一本杉 の 思想 か な
月,月明 の どの 抽斗 を 開けよ う か
山 眠る,山 眠る 時 々 煙 を 吐く 浅間
葉桜,葉桜 の 靖国神社 風 騒ぐ
終戦 記念 日,耳 に する 変 な 日本語 終戦 忌
螇蚸,老骨 の 膝 の 屈伸 螇蚸 飛ぶ
法師 蝉,おしい つく 死ねよ 死ねよ と 急かす ごと
花,思考 から 生死 薄らぐ 花 万朶
蓮 の 浮葉,煩悩 や ほ つと 浮葉 の 裏返る
曼珠沙華,独り で は 生き られ ぬ 日 の 曼珠沙華
秋,し ゃかむにのふっくら 秋 の 掌
練 供養,曼陀羅 の 隅 に 引っ掻き 傷 の あり
新酒,告白 は 新酒 の 力 借り て せり
柿 の 花,望郷 と は 父母 恋 ふこ と よ 柿 の 花
秋 惜しむ,一葉 の 心 の 秘密 秋 惜しむ
初 旅,初 旅 や 防犯 ベル を テスト せり
白鳥,大 白鳥 青 に 染まら ず 渡り 来し
花,皺 で 書く 明治 の 歴史 花 終わる
春寒,料 峭 の 紙 で 紙 切る 木偶の坊
花,花 ビラ の 駆け抜け て ゆく 男坂
薔薇,中流 の 意識 を 外 に 薔薇 盛る
日向ぼこ,日向ぼこ 一 語 一 語 が 昇天 す
春 疾風,日蝕 の やう な 信号 春 疾風
糸 蜻蛉,糸 とんぼ 糸 に なる まで 風 紡ぐ
蝸牛,蝸牛 ときどき 自問自答 する
田植,植 ゑ 終 へ し 棚田 に 風 の 曲がり くる
大根,島 大根 連ね て 富士 を 輝かす
枯葉,枯葉 踏む 不協和音 を 聞き ながら
枯葉,句 が 出来 ぬ 出来 ぬ と 枯葉 踏み 潰す
凩,木 枯 や 我が身 の 軋み 出し を り て
帰り 花,返り 花 食 ら つ て しまふ 肩 透し
枯葉,枯葉 舞 ふ 音 の 奏でる ハーモニー
初夢,初夢 や 見知らぬ 人 が 妻 の 座 に
寒 の 水,寒 の 水 飲む 丹田 に 力 入れ
冷奴,野心 など もう あり ませ ん 冷奴
秋 高し,天 高 し さ する 万 歩 の 膝頭
雪,ま づ 雪 の 深 さ を 尋ね 長電話
蝶,約束 の 一つ も なし に 蝶 生れる
冬 の 日,キッチン の 冬日 ざくざく 切り に けり
芙蓉,一 日 は 一生 で あり 酔 芙蓉
曼珠沙華,赤 と いえ ど 五 十 四 色 曼珠沙華
木槿,底 紅 や 自分 に 部屋 の ある 時代
春 の 雪,徘徊 の 母 の あと 追 ふ 春 の 雪
春 炬燵,う はさ 話 一気に 広がる 春 炬燵
大暑,縞馬 の しま 流れ出す 大暑 か な
稲妻,稲光 墓碑 一斉 に 立ち上る
冬 帽子,鐔 深く 世 を はばかり て 冬 帽子
蜘蛛,美しき 蜘蛛 の 急所 は 丹波 なり
葛 の 花,葛 の 花 産湯 さびしく 出 でし か な
立秋,秋 立つ や むかし 厠 に 無駄 ひとつ
蛇 穴 に 入る,栓 抜 を 探し て おり ぬ 秋 の 蛇
震災 記念 日,防災 や 緑 の 男 誘導 す
夏,風 を 切る 電動 自転車 エコ の 夏
晩夏,使わ れ ぬ 真珠 の タイ ピン 晩夏 光
コスモス,凡百 の 秋桜 咲き ニュータウン
着ぶくれ,着ぶくれ て 何やら おかし 長き 列
麦 の 秋,十 人 の 子 を 産む 仕事 麦 の 秋
五月 富士,夏 富 士 も 駿河 の 海 も 桶 の 中
桃 の 実,白桃 の 傷 つき合い し 御 仏壇
花火,土 堤 すべる 花火 の 匂う 髪 を し て
朴 の 花,みぞおち の 無 防備 朴 の 花 ひらく
初湯,浮き上がる 軽 さ の 母 の 初湯 か な
焚火,浜 焚火 男 の 指 に 絆創膏
草城 忌,草城 忌 微熱 の やう な 桜 の 芽
紅梅,紅梅 や 眠り 足ら ざる 肩 の 凝り
春 昼,回り くる ジョーカー 幾 度 春 の 昼
水 澄む,澄む 水 に 石 投げ 友 を 振り向か す
立冬,大き 顔 小さく 洗 ふ 今朝 の 冬
風邪,風邪 の 神 名前 を 変 へ て やつ て くる
マスク,マスク し て 自分 の 顔 を 取り も どす
桜,一 日 を さくら さくら と 使 ひき る
去年 今年,去年 今年 同じ 速 さ で 寿司 回る
木苺,木苺 の 遠い 記憶 を 摘み に けり
蜂,日当り て 蜂 の エンジン 唸り 出す
餅,普段着 の 母 しか 知ら ず 蓮 餅
団栗,児 の 掌 から 跳ね て どんぐり 唄 ひ 出す
梅 見,観 梅 や 他 国訛り の 交差点
春 の 海,とろとろ と 日 の 沈み ゆく 春 の 海
冷奴,冷奴 愛 い 奴 と 喉 覚 へ を り
秋 の 山,忠敬 の 一 歩 を 刻む 山 粧 ふ
秋 祭,秋 祭 合せ鏡 に 見入る 母
苺 の 花,雨漏り の する 母 と なり 花 苺
扇風機,扇風機 働き 羽根 を 見失う
蛇 衣 を 脱ぐ,鉄棒 に 置き忘れ られ 蛇 の 衣
鹿,妻 恋 うる 鹿 は 蒼古 の 塔 で ある
石鹸 玉,キャッチ し た 空 を リリース 石鹸 玉
羽 抜鶏,羽 抜鶏 に も たぶん ある 盆の窪
青 林檎,青 りんご 父 を 好き だ と まだ 言え ぬ
梅干,補陀落 の 見える 辺り に 梅 を 干す
風鈴,どの 風 も 風鈴 に き て よく 喋る
八月,八月 の 隠し ポケット から 軍歌
修司 の 忌,野 の 傷 を 舌 で いたわる 修司 の 忌
蛇 衣 を 脱ぐ,乱世 の 風 吹い て いる 蛇 の 衣
稲 の 花,稻 の 花 男 の 臍 に 囁け り
天の川,鈴 つけ て 銀河 に 発た す オートバイ
秋 の 夜,自分 史 に 銃声 の あり 秋 の 夜
木の芽,動か ね ば 何 も 変わら ず 　 木の芽 風
狗尾草,ねこ じゃ らし 騙し だまさ れ 　 耳順 か な
蛍,女 身 に 　 身八つ 口 あり 　 夕 蛍
水 涸 る,川 涸 るる 　 墓標 と なり し 　 石 数多
年 の 暮,土地っ子 の 抜け道 通る 　 年の暮れ
冬 の 星,天 狼 より 采配 すこし つまずく
侘助,白 侘助 さ が しも の 透き 通り を り
雪,豪雪 の 真昼 カムイ 様 と ぐっすり
熊,鼻先 へ 空気 クマ の 子 と の 阿吽
初雪,地下 へ 地下 へ 初雪 物語 を 少し
冬 の 山,雪嶺 の おおかた に 陽 や おはよう さん
鰡,鰡 とん で 水族館 は にぎわえ り
青葉,水銀 灯 あおば まみれ の 朝 の あり
木下 闇,青葉 闇 すこし 離れ て 埴輪 の 眼
菫,パンジー の 愛想 笑 ひ の 無人 駅
木の芽,波 音 の どすんと 岬 木の芽 張る
梨,剪定 の 梨 棚 平ら 海 平ら
熱帯魚,熱帯 魚 俺 の 大きな 顔 を 見る
捩花,芝 の 風 のぼり おり する ね ぢ れ ば な
桜,くちばし と 大きな 翼 夜 の 桜
如月,如月 や クレー の 魚 光り だす
春 北風,春 北風 ころがっ て いる マトリョーシカ
啓蟄,啓蟄 や アームストロング の ぎょ ろ 眼
冬 の 雨,冬 の 雨 灯 の ある ところ 人 が 居 て
蚕豆,空豆 の 味噌 煮 を 好む 夫 偲ぶ
雲雀,揚雲雀 夫 の 使者 とも 思い けり
牡丹,兄 の 十 三 回忌 牡丹 供え
青葉,写経 し て 弟 の 平癒 や 青葉 祭り
麦 の 秋,麦秋 や うどん に 替え し 時 あり て
若葉,バス で 行く 高 湯 温泉 若葉 時
蔦 若葉,防護 壁 明るく からむ 蔦 若葉
藤,東北道 松 に からまる 藤 の 花
躑躅,山 つつじ 急 な 坂路 のぼり ゆく
蛇,蛇 を 見 て 足す くま せ て 山 降りる
秋,秋 の パリ 迷 ひし 道 の 暮れ そめ ぬ
秋,セーヌ 川 秋 の 夕日 の 白 ワイン
行く 秋,行く 秋 や ノートルダム の 寺院 出 づ
月,月 登る ミラノ の 古き 石 の 門
木犀,苔 の 上 金木犀 の こぼれ 散り
春 の 鳥,手品 終れ ば 春 の 小鳥 と なり て ゆく
春雷,春雷 は 光ら ず 渉 り 隅田川
春 の 雪,春 の 雪 藤十郎 の 恋 すすむ
大根 引,大根 ひく 東西 南北 眞 中 にて
冬 薔薇,冬 薔薇 生年月日 口ごもる
青 簾,青 す だれ 油断 し て いる 女体山
滝,ずるずる と 生き た ところ で 滝 に 会う
名月,満月 や 三日坊主 と 仲 が いい
胡桃,ばらばら が 一つ に なれ ば 鬼 胡桃
橙,騙さ れ て みる か 橙 の しも ぶ くれ
月,天心 の 月 に フリル を 縫いつける
梅,画家 の 眼力 枝 垂 梅 の 変身 す
春 の 雪,ロボット の 立居振舞 春 の 雪
春 塵,密葬 や 机 の 中 の 春 の 塵
啓蟄,啓蟄 や 犬 が 聞き耳 立て て いる
桜,いくさ を はる やう に を はり し さくら か な
昼寝,深遠 を 戻り 来り し 昼 寝覚め
ハンモック,網 の 目 に 肉 むら 詰まり ハンモック
蜂,蜂の巣 の なか の 熱 さ を 思ひ ゐる
冬 の 蝶,冬 蝶 に 習志野 ナンバー つけ て やら う
雛,穏やか な 日射し に 急か れ 雛 飾る
春 の 雪,春雪 の 轍 の 果て の 祕湯 か な
日光 黄 菅,一 面 の 日光 黄 菅 空 まで も
秋 の 海,秋 濤 の 不意 の 飛沫 も 二見浦
冬 の 日,冬日 射す 古木 に 宿る 草 の 青
クリスマス,生臭き ナイフ と フォーク 聖誕祭
十薬,十字 花 最後 の 晩餐 や も 知れ ず
葦,一 本 の 葦 八 艘 飛び を 考える
御 神 渡,神 渡し 信長 ちょっと 呼ん で こい
流星,押し黙る 大樹 に どっと 流れ星
筍,そんな こと 出 た 筍 は 気 に し ない
鬼灯 市,四 万 六 千 日 ヒマラヤ の 蒼い 芥子
蟬,油 蟬 狙う Ｂ 29 の 鉛筆
草 の 花,色鉛筆 あらかた 使い 草 の 花
水仙,水仙 の ゆるり と 老いる 心地 なり
凩,木枯し の 行きつく ところ 釈迦 の 骨
啄木鳥,大 往生 大 往生 と けらつつき
終戦 記念 日,終戦 日 父 の 遺影 の 罅割れ て
水鳥,どこ まで が 俺 の 世界 か 浮寝 鳥
冬,冬 温し 兄 亡き のち の 誕生 日
寒椿,青空 と 瞳 を 交 は す 寒椿
春光,春光 へ 白紙 と なり て 吸 は れ けり
花,人間 に 生れ この世 の 花 の 相
眼 白,ファックス の 届き し 窓辺 目白 来る
スケート,銀盤 に 墜ち し 炎 の 耳飾り
蓑虫,牧 の 枝 に いく つみ の 虫 さげ たる や
蝶,初 蝶 と み て 長老 の 背 の 低し
藤,藤棚 の 下 を ななめ に 珈琲 来る
向日葵,ずっしり と 向日葵 火傷 し そう です
晩秋,刃物 の 固 さ 晩秋 の 帆 の 白 さ
烏瓜,案の定 魔 が さし て いる 烏瓜
黄 落,黄 落 の 根本 に 獏 の 居座れる
鳥 曇,鳥 曇り 地球 は 一 枚 の 厚紙
新年,本日 休診 地球 ま あるく 年 明ける
春愁,春愁 や 洗濯 物 が 暮れ て ゆく
更衣,消え かけ の 植 疱瘡 や 更衣
梅雨晴,魚屋 に 猫 大 集合 梅雨 晴間
片 蔭,片 陰 を 辿り 仏教 伝来 す
鹿尾菜,鹿尾菜 女 や 顔 は 不明 の 尻 許 り
猫 の 恋,恋 猫 の 疲れ て 端居 大 欠伸
狩,お代り の 飯 も 大盛り 猟 名残
桜餅,客 帰り 摑 んで 大口 桜餅
百 合,籠 に 挿せる 山百合 搖 らし 農 婦 来る
桜餅,美しき 名 の 橋 渡る 桜餅
鳥 帰る,鳥 帰る 空い ちまい の 畳紙
短夜,短夜 の 壁 の 中 より 櫂 の 音
青 胡桃,て の ひ ら の 静か なる 飢青 くるみ
水 澄む,水 澄み て 水 の 底 より 鬨の声
鮟鱇,鮟鱇 を ずる り と 曳き て 糶 了 る
氷菓,芋 アイス 買う や 小 江戸 の 蔵 造り
昼寝,昼 寝覚め 心 しばらく 彼の世 向く
万緑,万緑 の うねり 上総 を 越え て 安房
柿,柿 ひとつ 画き て も 宇宙 古径 展
大根,塩 で もむ 大根 太陽 ぐんぐん
寒し,物の怪 よ 仲良く しよ う 寒い から
春 の 星,春 の 星 一気に 殻 を ぶち 破る
冷 索麺,湧く 雲 無尽 そう めん のび ちゃっ た
竹 落葉,そこ だけ は 踏ま せ たく ない 竹 落葉
風鈴,露地 を 出 て 風鈴 売り が 風 に なる
冬,冬 満月 黒曜石 を 軋ま せる
朱欒,連立 方程式 転がっ て いる 朱欒
含羞草,大安 や うつらうつら と 含羞草
椿,稜線 は ふるさと に 似 て 椿山
月,漁師 町 鱗 に のこる 月明 り
秋,トンネル を 出 て 山 と 海 と の 秋 二つ
踊,風 に なる 手足 の 軽き 盆踊り
鉄線 花,垣根 より のぞく 挨拶 鉄線 花
菊,菊 の 艶 無骨 な 指 に 生まれ けり
雪,南 総 に 薄紙 一 枚 ほど の 雪
冬 の 蝶,日だまり に 透き 恍惚 の 冬 の 蝶
春一番,春一番 土管 が 太き 笛 を 吹く
日永,骨董 屋 の 昭和 に ひたり 日 の 永し
下 萌,日溜り の 芯 に 児 を 置き 草 青む
花粉 症,花粉 症 杉 鉄砲 を 打て ば 消 ゆ
蚊帳,もったいない 日本 の 蚊帳 を アフリカ へ
ダービー,ダービー の 馬 は 四 歳 孫 四つ
鮑,意気 潜り めおと 鮑 に 素手 の 浮き
水鳥,さまざま の 水鳥 湖 の 平和 か な
寒 の 入,太 息 に 太 息 返し 寒 に 入る
豆 撒,「 鬼 は 外 」 病み たる 夫 の 声 の 張り
蛙 の 目 借 時,七曜 は 無用 の 身 です 目 借 時
蚕豆,はじき 豆 飛ん で 飛び出す 里 訛
秋風,爽籟 や 試歩 伸ばし 行く 夫 の 背 ナ
春 の 雨,春 の 雨 もも 色 福祉 タクシー 券
竹 皮 を 脱ぐ,竹 皮 を 脱ぐ 蜑 の 隠し 湯 溢れ させ
時鳥,編隊 の 自衛隊 機 去り ほととぎす
秋 高し,元気 でる 種 の 本来 て 秋 高し
月見,長寿 橋 渡り 月見 の 母 が 居る
秋 惜しむ,天心 の 五 浦 の 秋 を 惜しみ けり
夜 の 秋,枕辺 の 新書 匂 える 夜 の 秋
寒卵,正座 し て 閑話 の 母 や 寒卵
春 近し,安産 を 祈る 鉦 の 音 春 隣り
鮪,下船 する 冷凍 鮪 の 白 化粧
雁,雁 や 賢治 は いつも わが 海図
赤蜻蛉,経 上 ぐる 掌 に 吸 ひつ きぬ 赤蜻蛉
冬木,黙す と は 気 と 語る こと 冬木 道
海水 着,水着 の 妻 はて 見 し こと の あり や なし
打水,打水 の 砂けむり し て 父 の 顔
樹氷,陽 の 射し て 音 なき 浄土 樹 氷原
竜 天 に 昇る,竜 天 に 昇る 暁雲 輝 や かし
氷菓,加速 する 老 の 月日 や 氷菓子
秋 高し,一山 の 鴟尾 の 金色 天 高し
名月,松が枝 に 一夜 名残り の 明け の 月
繭,大いなる 時間 を 食べ て 繭 と なる
蕗,蕗 の た う 日向 は 母 の 匂 ひし て
羽 抜鶏,羽 抜鶏 われ を 忘れ て 走り を り
滝,若返る 水 や も 知れ ぬ 滝 しぶき
椎茸,椎茸 を 干し て 足腰 強く なる
犬 ふぐり,犬 ふぐり 大きく な つて も 犬 ふぐり
比良 八 荒,唐崎 の 松 に さざ波 比 良八 荒
出開帳,開帳 の 寺 に 立 正安 国論
鴬,老 鶯 の こだま か へら ず 雲 巌 寺
後 の 月,補陀落 の 海 を 鎮め し 十三夜
露,完璧 と 想え ば 寂し 露 衣
初 凪,初 凪 の 秘 儀 あかあか と 隠れ ざる
薔薇,青畳 何 も 求め ぬ 薔薇 一 輪
枯木,記念樹 の 小さな 裸 木 陽 を 集め
鮟鱇,鮟鱇 の 吊さ れ 威厳 ぬぎ 捨 つる
天皇誕生日,を さ な 児 に 添 ひ 寝 天皇誕生日
春 浅し,己 が 身 に 尾 椎 の なごり 春 浅し
桜,城壁 の さび さび として さくら か な
花野,棒立ち で 泣く 男 いる 花野 か な
冬 の 山,殴ら れ やすき 男 あつまる 冬 の 山
父 の 日,父 の 日 や 天地 に ね ぢ と ね ぢ ま はし
四月 馬鹿,ポスト より 鳩 の 生 るる 万 愚 節
煮 凝,煮 凝 や 柱 を もた ぬ 家 に 棲む
空 蟬,空 蟬 の まだ や はら かき いろ を もつ
春愁,筆 立 の 耳 掻 二 本 春愁 ひ
春 の 雨,春 の 雨上がり 堆肥 の 湯気 八 方
野 焼く,利根川 を 蔽 ふ 野 焼 の 五 六 條
春 の 星,春 の 星 ヨット の 軋む 音 ひそか
雁,雁 の 声 千住 に 残る 鴎外 居
秋,ビル 街 の 秋 や 屋台 の 弁当 売
鈴蘭,気 ぐらゐの 鈴蘭 気紛れ に も 鳴ら ず
蟇,蟇 不動 闇 崩 るる を 恐れ を り
草いきれ,いくらでも 訛 生まれる 草いきれ
秋 蟬,秋 蟬 の 仲間 が 風 に 攫 は れる
狐,山里 に 棲ん で きつね の やう な 咳
重陽,身 の 錆 を 洗い ながし て 菊 の 酒
もの の 芽,芽 起し の 雨 読みさし の 本 匂う
枯木,は だ か 木 や 快楽 の 果て の つややか に
蛇,錦帯橋 わ たり 白蛇 に 逢 ひ に ゆく
雲雀,音 の なき 電波 時計 や 岩 ひばり
向日葵,ひまわり の むかう は 過去 が 痩せ て ゆく
秋 の 海,秋 の 波 どんぶり勘定 し て ゐ たり
八 手 の 花,花 八つ手 人 が 無闇 に 穴 を 掘る
パセリ,パセリ 噛む 夕ぐれ は 鳥 の 感情
凌 霄 の 花,弟 橘 媛 の 耳朶 のうぜんかずら か な
刈田,まう し ろ の 刈田 の 晴れ に 鍵 かける
サフラン,花 サフラン 舌 の 真赤 は 太古 より
蛍袋,くすくす と 螢袋 に 乳房 ある
冬 枯,冬枯れ の またたき に 似 て 父 の 椅子
冬 牡丹,冬 ぼ たん 崩 るる こと の 許さ れ ず
春泥,春泥 の 闇 やわらかく 膨らめ り
李,確執 の 消し 去り がたく すもも 咲く
立春,立春 の 光 あふる る 哺乳 瓶
鰯 引く,干鰯 場 の 風 の 目 が 急く 汐 変り
冴 返る,冷え 返る もの の 影 置く 糶り 市場
虎 落笛,浜 小屋 の 闇 摑 み 出す 虎 落笛
燕,つばくらめ 今日 より 海女 の 磯 通 ひ
師走,光り ごと 沈め 師走 の 生簀 籠
蕗の薹,ふき の 薹 一寸法師 の 椀 の なか
冷奴,冷奴 四 角 に 切 つて からく づす
熱帯魚,熱帯魚 見 て 来 て 浦島 太郎 か な
浴衣,浴衣 着 て 體 が 四角 に なつ て ゐる
年男,裃 を ぬけ 出 て 只 の 年男
一月,一月 の そんじょそこら の 翁 たる
長閑,長閑 さ や 知 つた 振り し て この 齢
滝,瀧 しぶき 齢 ここ まで 伸び に けり
秋 の 夜,秋 の 夜 の 男 匂 は す サクソフォーン
薬 喰,ここ より は 男 入れ ず 薬 喰
花,とおり ゃんせ 花 の トンネル 青空 へ
春,良寛 の 草 文字 な びく 丘 の 春
五月,五月 光 白磁 に ゆらぐ 水 の 影
蝶,し ゞ み 蝶 　 高嶺 に 生まれ 翅 あおる
春 の 雪,山上 湖 　 丈余 の 雪 は 既に 春
冬 苺,冬 苺 告白 し たら 赤く なる
シクラメン,ほんと の こと は 言い ませ ん シクラメン
春 の 月,あしらい は 小指 で つつく 春 の 月
春,千千 に 物 こそ 自己 中心 的 春
梅,梅 一 輪 人形 を 愛せ ない
昼寝,遺伝子 の ぎゅっと 詰まり し 昼寝 か な
秋刀魚,濁声 や さんま の 箱 の 飛ぶ 如き
秋 深し,深 む 秋 二 人 三脚 の 紐 ほど け
春泥,春泥 の 足 あと 森 へ つづい てる
若 芝,闘魂 の 染み たる 広場 芝 青む
師走,師走 は や 調律 の 音 病 廊 に
冬ざれ,冬ざれ や 鉛筆 まで も 妻 の 文字
冬,ペンライト 搖 ら ぐ 眞 冬 の 日本海
もの の 芽,もの の 芽 や かつ てこ より を 縒り し 指
蟻,造反 と 思う 短 かき 蟻 の 列
餅 搗,餅 筵 並び 明るい 北 廊下
柊 挿す,一 周り 柊 挿し て 石 に 座す
咳,咳 の あと 喉 飴 香り つつ 溶ける
水 温む,ピカピカ の 蛇口 を あふれ 水 温む
燕,新築 に 一番 乘 り の 燕 か な
冬,冬 の 駅 つくづく 吾 も 過客 たり
寒 牡丹,寒 牡丹 さみし さ ゆ ゑに 色 を 増し
亀 鳴く,繰り言 は 亀 鳴く 池 に 捨て に けり
囀,囀り に 耳 を 澄ませ ば 愚痴 少し
夏 瘦,夏 瘦 せ て 硬き 木 椅子 に 攻め ら るる
日向ぼこ,鳩 の 群 羽 交い 弛め て 日向ぼこ
春眠,入院 の 夫 に 春眠 忘れ けり
牡丹 の 芽,深窓 の 姫 を 育む ぼ たん の 芽
梅 見,観 梅 や 笑顔 やさしき 師 を 見舞う
蕗の薹,蕗 の とう よわい 忘れ て かけ 寄れ り
春 近し,二 十 四 色 全部 使っ て 春 隣
柚子,思い出す なり 思う なり 柚子 の 照り
遅 桜,遅 桜 巡り て ぼく は 地球 側
月,ひとつ だけ 窓 に 灯 ともり 月 の ゆくえ
冬 の 燈,冬 灯 新書 の くすぐったき 重 さ
滝,滝 に 顔 一瞬 泣い て 崩れ けり
冷夏,冷夏 なり くすぐったい ほど 夫婦 老い
滴り,点滴 の 滴 は 詩人 の 歩幅 か な
花,病室 に も の のけ 花 の 鉢 を 置く
苜蓿,白 詰 草 針 に 糸 ある 幸 の ある
衣 被,衣かつぎ 盛ら れ 小石 の 顔 と なる
冬 の 日,赤 米 の 穂 を 指 で 扱く そんな 冬日
梅,臘梅 の 光り を 食べる 月日 です
冬,退屈 な ゴリラ で 自由 冬 の 園
春,宿 下駄 に 残り し 春 の 冷え を 履く
松 手 入,松 手入れ すん で 庭師 の 笑顔 皺
雪,淡雪 を 笑い飛ばし て 電工 夫
鮟鱇,鮟鱇 を 上手 に ほめる 処世 術
鮟鱇,鮟鱇 を 吊るし 人間 という やから
桜,桜 蕊 降る 少年 の 深き 眉
桜草,桜草 風 の 笑窪 を とら へ たる
梅雨 寒,梅雨 寒し 一 人 に か はる 信号 機
枇杷 の 花,花 枇杷 の ぽつりぽつり と メール 打つ
青 柿,青 柿 の ひとつ 転がる 微熱 か な
孑孒,みんな 他人 で 孑孑 を かきまわす
蛍,ニトログリセリン の 甘 さ 蛍 の 夜
露,露け さ の 一団 百 人 が 動く
大根,お祈り 長し 葉 付き 大根 持っ た まま
白鳥,白鳥 を 数え て いる と 咲き に けり
涅槃会,涅槃 図 を 見つめ て 小腹 空き に けり
朧月,朧夜 に 濡れ て この 身 の 老い ゆく か
簾,捨て ち ま へ 固定 観念 ・ 古 簾
轡虫,が ちや が ちやの 騒い で 何 も 変 はら ぬ 世
とろろ 汁,とろろ 汁 人生 訓 を 少し 垂れ
四月 馬鹿,一 駅 で 終ら ぬ 化粧 四月 馬鹿
金魚,妻 の 愚痴 聞きあき まし た 金魚鉢
